Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,Product Link,"Rating (Not recommended, OK, Great, Excellent) ",What active ingredient (or ingredients) are present for the concern?,"If there is fragrance in the product, is it impacting the rating? (put N/A if no fragrance) "
Dry,Dryness,Yes,Don't care,Medium,https://www.sephora.com/product/laneige-water-bank-blue-hyaluronic-cream-moisturizer-P482693?skuId=2735843&icid2=products grid:p482693:product,Ok,,Yes
Dry,Dark Spots,No,Yes fragrance,Medium,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Great,"Niacinamide, Palmitoyl Grapevine Shoot Extract, Paeonia Lactiflora Root Extract",Yes
Dry,Dark Spots,Yes,Don't care,Severe,https://www.sephora.com/product/major-fade-active-seal-dark-spot-vitamin-c-gel-moisturizer-P510561?skuId=2647568&icid2=products grid:p510561:product,Great,"Tetrahexyldecyl Ascorbate, 4-Butylresorcinol, Hexapeptide-2, Hydrolyzed Brassica Napus Seedcake Extract",N/A
Dry,Dark Spots,No,No fragrance,Medium,https://www.sephora.com/product/c5-super-boost-vitamin-c-moisturizer-P501282?skuId=2533529&icid2=products grid:p501282:product,Excellent,"3-O-Ethyl Ascorbic Acid, Ascorbyl Glucoside, Acetyl sh-Hexapeptide-5 Amide Acetate, Oryza Sativa (Rice) Bran Extract",N/A
Dry,Dark Spots,Yes,No fragrance,Mild,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Not recommended,,Yes
Dry,Dark Spots,No,No fragrance,Mild,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Great,"Niacinamide, Palmitoyl Grapevine Shoot Extract, Paeonia Lactiflora Root Extract",Yes
Dry,Dark Spots,Yes,Yes fragrance,Medium,https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?skuId=2071751&icid2=products grid:p430337:product,Ok,,Yes
Dry,Dark Spots,No,Don't care,Severe,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,Great,"Ascorbic Acid (Vitamin C), Niacinamide, Alpha Arbutin, Licorice extract, Kojic acid",Yes
Dry,Acne,Yes,Yes fragrance,Severe,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Ok,,Yes
Dry,Acne,Yes,No fragrance,Medium,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Not recommended,,Yes
