Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,"Rating (Not recommended, OK, Great, Excellent)",Product Link Copy,Skin_Type_P,Skincare_Concerns_P,Fragrance_Free_P,Cleaned_Skin_Type,Cleaned_Skincare_Concerns
Combination,Dark Spots,Yes,No fragrance,Mild,Not recommended,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,"Normal, Dry, Combination, and Oily","Pores, Dryness, and Dullness",,"combination,dry,normal,oily",Dryness
Combination,Dark Spots,Yes,No fragrance,Severe,Not recommended,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,"Normal, Dry, Combination, and Oily","Pores, Dryness, and Dullness",,"combination,dry,normal,oily",Dryness
Combination,Dark Spots,Yes,Don't care,Severe,Not recommended,https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?skuId=2071751&icid2=products grid:p430337:product,"['combination', 'dry']","Dullness and uneven texture, Dryness, Fine lines and wrinkles",False,"combination,dry","Aging, Dryness"
Normal,Acne,No,Don't care,Severe,Great,https://www.sephora.com/product/the-inkey-list-supersolutions-acne-clearing-moisturizer-2-novoretin-P506554?skuId=2673333&icid2=products grid:p506554:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture, and Acne/Blemishes",,"combination,dry,normal,oily","Acne, Dryness"
Normal,Acne,Yes,Yes fragrance,Medium,Ok,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?skuId=1842251&icid2=products grid:p410400:product,"Normal Oily
 Combination Dry  Sensitive",Acne and Pores,True,"combination,dry,normal,oily,sensitive",Acne
Normal,Acne,Yes,Yes fragrance,Medium,Ok,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Combination and Oily,"Pores, Acne and Blemishes, and Oiliness",False,"combination,oily","Acne, Oiliness"
Normal,Acne,No,No fragrance,Medium,Not recommended,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Combination and Oily,"Pores, Acne and Blemishes, and Oiliness",False,"combination,oily","Acne, Oiliness"
Normal,Acne,Yes,Yes fragrance,Severe,Ok,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Combination and Oily,"Pores, Acne and Blemishes, and Oiliness",False,"combination,oily","Acne, Oiliness"
Normal,Acne,No,Don't care,Mild,Excellent,https://www.sephora.com/product/kiehls-expertly-clear-moisturizer-for-acne-prone-skin-with-salicylic-acid-P509461?skuId=2734788&icid2=products grid:p509461:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture, and Acne and Blemishes.",True,"combination,dry,normal,oily","Acne, Dryness"
Normal,Acne,No,Don't care,Severe,Great,https://www.sephora.com/product/kiehls-expertly-clear-moisturizer-for-acne-prone-skin-with-salicylic-acid-P509461?skuId=2734788&icid2=products grid:p509461:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture, and Acne and Blemishes.",True,"combination,dry,normal,oily","Acne, Dryness"
